item_code,name,description,unit,quantity,location,min_level,reorder_qty,category,active
Nut R32-10T3-FSI Hiwin,NutR32,R32-10T3-FSI | Make : Hiwin,Nos,1,,0,0,TRANSMISSION,1
16A-S16-61198-B09-TDYR,ON/OFF Switch,SELCO 16 Ampere,Nos,4,,0,0,ELECTRICAL,1
16A 2P ROTERY SWITCH,ON/OFF Switch SELCO,16 Ampere,Nos,5,,0,0,ELECTRICAL,1
16A 4P ROTERY SWITCH,ON/OFF Switch SELCO,,Nos,0,,0,0,ELECTRICAL,1
MFI -PISTON,PISTON,MFI -PISTON,Nos,19,,0,0,Others,1
MFI-PISTON REMOVAL,PISTON REMOVAL,MFI P REMOVAL,Nos,21,,0,0,Others,1
MFI PLC SELEC,PLC Selec,TWIX-1 230,Nos,5,,0,0,ELECTRICAL,1
PDP CYLINDER BORE 140MM,Pnematic Dumble Press,CYLINDER BORE 140MM,Nos,0,,0,0,TRANSMISSION,1
PG BCPM 14BAR,Pressure Gauge BCPM 14 BAR,Pressure Gauge BCPM 14 BAR | Make : Micro,Nos,9,,0,0,HARDWARE,1
PG BCPM 21BAR,Pressure Gauge BCPM 21 BAR,Pressure Gauge BCPM 21 BAR | Make : Micro,Nos,16,,0,0,HARDWARE,1
PG BCPM 25BAR,Pressure Gauge BCPM 25 BAR,Pressure Gauge BCPM 25 BAR | Make : Micro,Nos,6,,0,0,HARDWARE,1
PG BCPM 28BAR,Pressure Gauge BCPM 28 BAR,Pressure Gauge BCPM 28 BAR | Make : Micro,Nos,5,,0,0,HARDWARE,1
PTU BOTTOM PLATE,PTU BOTTOM PLATE,SS 304 - 150X 150 X16,Nos,0,,0,0,Others,1
PTUGASKET-108,PTU Center Gasket,Size : 100 x 108 x 3,Nos,37,,0,0,HARDWARE,1
PTU B MOULD,PTU MOULD Bottom,CELL OD 114 OD 100 X 50,Nos,45,,0,0,Others,1
PTU MOULD B PLATE,PTU MOULD SQ SS PLATE 120 X 120 X 3,MOULD CASTING BOTTOM PLATE,Nos,0,,0,0,Others,1
PTU T MOULD,PTU MOULD TOP,CELL OD 114 OD 100 X 127,Nos,5,,0,0,Others,1
PTU PLATE BOTOM -TOP,PTU PLATE SS 150 X150X 16,BOTTOM PLATE,Nos,0,,0,0,Others,1
PTU TOP PLATE,PTU TOP PLATE,SS 304 - 150X 150 X16,Nos,0,,0,0,Others,1
PTUGASKET-115,PTU Top-Bottom Gasket,Size : 100 x 115 x 3,Nos,45,,0,0,HARDWARE,1
YSK2-200AN,Servo Drive 0.4KW,Servo DRIVE UTM SSB,Nos,2,,0,0,ELECTRICAL,1
FV3S-R1-PA5R5,Servo Drive 750W,Servo DRIVE UTM 10KN,Nos,1,,0,0,ELECTRICAL,1
YSK2-MH040N,servo motor 0.4 kW,Servo MOTOR UTM SSB 30KG & 5KN,Nos,1,,0,0,ELECTRICAL,1
YSK-2 MH260N2,Servo Motor 2.6 KW,Servo MOTOR UTM 100KN,Nos,5,,0,0,ELECTRICAL,1
EAM-XG-2020T-U30,Servo Motor 2KW,Servo MOTOR UTM 50KN,Nos,3,,0,0,ELECTRICAL,1
ECM-WH-0830A-230-,Servo Motor 750W,Servo MOTOR,Nos,1,,0,0,ELECTRICAL,1
IS15477 SHEAR,SHEAR FIXTURE,Shear Fixture,Nos,3,,0,0,METAL,1
Chain5/8,Simplex Chains,5/8',Nos,34,,0,0,TRANSMISSION,1
Sprocket5/8,Simplex Sprocket,5/8',Nos,28,,0,0,TRANSMISSION,1
Dolly 50x50,Square Dolly,50x50 MS CED Coated,Nos,0,,0,0,Others,1
WPU SS TANK,SS TANK,SS Tank for water Permability,Nos,1,,0,0,METAL,1
UTM-SSB M20*1.5P CHUCKNUT,SSB Checknut,SSB CHUCK NUT,Nos,19,,0,0,METAL,1
HGH 25CA ZAC HIWIN,SSB Slider,700mm for table top,Nos,3,,0,0,METAL,1
MFI SSR,SSR,25Amps AC to AC,Nos,2,,0,0,ELECTRICAL,1
PULL PUSH C 100 GM W,Standard Weight 100GM,Hook type weights 100gm,Nos,0,,0,0,METAL,1
STD WIGHT 100GM,Standard Weight 100GM,Hook type weights 100gm,Nos,5,,0,0,METAL,1
PULL PUSH C 200GM W,Standard Weight 200GM,Hook type weights 200gm,Nos,0,,0,0,METAL,1
STD WIGHT 200GM,Standard Weight 200GM,Hook type weights 200gm,Nos,5,,0,0,METAL,1
PULL PUSH C 25GM W,Standard Weight 25GM,Hook type weights 25gm,Nos,0,,0,0,METAL,1
STD WIGHT 25GM,Standard Weight 25GM,Hook type weights 25gm,Nos,5,,0,0,METAL,1
STD WT10KG,STD WEIGHT 10 KG,Std Wt 10KG | MS | Deformability,Nos,9,,0,0,METAL,1
STD WT2KG,STD WEIGHT 2 KG,Std Wt 2KG | SS | Pull Off,Nos,28,,0,0,METAL,1
STD WT5KG,STD WEIGHT 5 KG,Std Wt 5KG | SS304 | Slip Test,Nos,2,,0,0,METAL,1
Tap M10,Tap,M10,Nos,1,,0,0,HARDWARE,1
Tap M12,Tap,M12,Nos,1,,0,0,HARDWARE,1
Tap M4,Tap,M4,Nos,12,,0,0,HARDWARE,1
Tap M6,Tap,M6,Nos,6,,0,0,HARDWARE,1
Tap M8,Tap,M8,Nos,5,,0,0,HARDWARE,1
Tie Rod 10x1200,Tie Rod 10x1200,10 mm x 1200 mm,Nos,6,,0,0,METAL,1
Tie Rod 20x1000,Tie Rod 20x1000,20 mm x 1000 mm,Nos,9,,0,0,METAL,1
Tie Rod 30x1200,Tie Rod 30x1200,30 mm x 1200 mm,Nos,8,,0,0,METAL,1
Tie Rod 30x1400,Tie Rod 30x1400,30 mm x 1400 mm,Nos,6,,0,0,METAL,1
2400-8m-50 TIMING BELT,Timer Belt,2400-8m-50,Nos,3,,0,0,TRANSMISSION,1
TIMER TEETH P 8MM X 48,Timer Pulley,TIMER TEETH P 8MM X 48,Nos,6,,0,0,TRANSMISSION,1
UTM 100KN -480- TIMMIG BELT,TIMING BELT,1728 8m 30mm,Nos,2,,0,0,TRANSMISSION,1
CH-201,Toggle Clamp CH-201,CH-201,Nos,10,,0,0,TRANSMISSION,1
IS15477 PULL-UJ,Universal Joint for Pull Off Test,Universal Joint,Nos,10,,0,0,HARDWARE,1
UTM 100KN M 30 CHUCK N,UTM 100KN -M30 CHUCK NUT,checknut 30 load cell adapter,Nos,10,,0,0,METAL,1
UTM 50KN M24 CHUCK N,UTM 50KN -M24 CHUCK NUT,checknut 24 lad cell adapter,Nos,30,,0,0,METAL,1
UTM 50KN BEARING T,UTM 50KN BEARING HOUSING T,BEARING HOUSING TOP,Nos,7,,0,0,METAL,1
UTM 50KN R40 GEARBOX COUPLING,UTM 50KN GEAR BOX COUPLING R40,Gear Box Coupling 50kn,Nos,2,,0,0,METAL,1
UTM 50KN Servo B,UTM 50KN Servo BRACKET,Motor Flange,Nos,0,,0,0,ELECTRICAL,1
UTM 5KN BEARING HOUSING B,UTM 5KN BEARING HOUSING BOTTOM,Bearing Housing,Nos,7,,0,0,METAL,1
UTM 5KN BEARING HOUSING T,UTM 5KN BEARING HOUSING TOP,Bearing Housing,Nos,7,,0,0,METAL,1
UTM 50KN BEARING B,UTM-50KN BEARING 7305TRB HOUSING (B),BEARING HOUSING BOTTOM,Nos,7,,0,0,METAL,1
VG5KN BEARING 602,Vice Grip Bearing 602,Vice Grip Bearing 602,Nos,84,,0,0,HARDWARE,1
VG5KN MAIN BODY,VICE GRIP BODY MS,,Nos,10,,0,0,Others,1
SMALL VICE GRIP M12 Bolt,Vice Grip Bolt M12,VG 5KN M12,Nos,12,,0,0,METAL,1
VG5KN M14 INSERT SUPORT Bolt,Vice Grip Bolt M14,VG 5KN M14,Nos,0,,0,0,METAL,1
WP Gasket,Water Pemeability Gasket,Size : 75x110x10,Nos,20,,0,0,TRANSMISSION,1
Welding Rod 315 10  GAUGE,Welding Rod,10 Gauge,Nos,5,,0,0,HARDWARE,1
WP Square Plates SS304,WP Square Plates,200x200x10,Nos,24,,0,0,METAL,1
TIMMING PULLY,DRIVING PULLY & GEARBOX DRIVER PULLY,UTM 100KN DRIVER PULLY,Nos,6,,0,0,METAL,1
MFI BARREL CLEANER,MFI BARREL CLEANER,MFI,Nos,19,,0,0,METAL,1
